year,author,author
2009,Tim Brown,1
2009,"Tom Shannon, John Hockenberry",1
2009,Tyler Cowen,1
2009,Ueli Gegenschatz,1
2009,Vilayanur Ramachandran,1
2009,Willard Wigan,1
2009,William Kamkwamba,1
2009,Willie Smits,1
2009,Yann Arthus-Bertrand,1
2009,Yves Béhar,1
2010,Hans Rosling,3
2010,Derek Sivers,2
2010,Johanna Blakley,2
2010,Nicholas Christakis,2
2010,Sir Ken Robinson,2
2010,Aaron Huey,1
2010,Adam Sadowsky,1
2010,Adora Svitak,1
2010,Ahn Trio,1
2010,Aicha el-Wafi + Phyllis Rodriguez,1
2010,Alan Siegel,1
2010,Alexander Tsiaras,1
2010,Ali Carr-Chellman,1
2010,Alice Dreger,1
2010,Amber Case,1
2010,Anders Ynnerman,1
2010,Andrew Bird,1
2010,Anil Ananthaswamy,1
2010,Annie Lennox,1
2010,Antonio Donato Nobre,1
2010,Arianna Huffington,1
2010,Arthur Potts Dawson,1
2010,Arvind Gupta,1
2010,Auret van Heerden,1
2010,Barbara Block,1
2010,Barry Schwartz,1
2010,Bart Weetjens,1
2010,Barton Seaver,1
2010,Ben Cameron,1
2010,Benoit Mandelbrot,1
2010,Beverly + Dereck Joubert,1
2010,Bill Gates,1
2010,Birke Baehr,1
2010,Blaise Agüera y Arcas,1
2010,Brené Brown,1
2010,Brian Cox,1
2010,Brian Skerry,1
2010,Bruce Feiler,1
2010,Bruce Schneier,1
2010,Cameron Herold,1
2010,Carl Safina,1
2010,Caroline Casey,1
2010,Caroline Phillips,1
2010,Carter Emmart,1
2010,Catherine Mohr,1
2010,Chade-Meng Tan,1
2010,Charity Tillemann-Dick,1
2010,Charles Leadbeater,1
2010,Charles Limb,1
2010,Cheryl Hayashi,1
2010,Chip Conley,1
2010,Chris Anderson,1
2010,Christien Meindertsma,1
2010,"Christopher ""moot"" Poole",1
2010,Christopher McDougall,1
2010,Claron McFadden,1
2010,Clay Shirky,1
2010,Conrad Wolfram,1
2010,Courtney E. Martin,1
2010,Craig Venter,1
2010,Cynthia Breazeal,1
2010,Dan Barber,1
2010,Dan Cobley,1
2010,Dan Meyer,1
2010,Dan Phillips,1
2010,Daniel Kahneman,1
2010,Daniel Pauly,1
2010,Danny Hillis,1
2010,Dave Meslin,1
2010,David Bismark,1
2010,David Byrne,1
2010,"David Byrne, Ethel + Thomas Dolby",1
2010,David Cameron,1
2010,David McCandless,1
2010,Deborah Rhodes,1
2010,Dee Boersma,1
2010,Denis Dutton,1
2010,Diana Laufenberg,1
2010,Dianna Cohen,1
2010,Dimitar Sasselov,1
2010,Drew Dudley,1
2010,Eben Bayer,1
2010,Edith Widder,1
2010,Elif Shafak,1
2010,Elizabeth Lesser,1
2010,Elizabeth Lindsey,1
2010,Elizabeth Pisani,1
2010,Ellen  Gustafson,1
2010,Ellen Dunham-Jones,1
2010,Emily Pilloton,1
2010,Enric Sala,1
2010,Eric Berlow,1
2010,Eric Whitacre,1
2010,Esther Duflo,1
2010,Ethan Zuckerman,1
2010,Eve Ensler,1
2010,Fabian Hemmert,1
2010,Frederick Balagadde,1
2010,Gary Flake,1
2010,Gary Lauder,1
2010,Gary Wolf,1
2010,Geert Chatrou,1
2010,George Whitesides,1
2010,Gero Miesenboeck,1
2010,Graham Hill,1
2010,Greg Stone,1
2010,Guy-Philippe Goldstein,1
2010,Halla Tómasdóttir,1
2010,Hanna Rosin,1
2010,Hawa Abdi + Deqo Mohamed,1
2010,Heather Knight,1
2010,Heribert Watzke,1
2010,Hillel Cooperman,1
2010,Iain Hutchison,1
2010,Inara George,1
2010,Inge Missmahl,1
2010,Jackson Browne,1
2010,Jacqueline Novogratz,1
2010,James Cameron,1
2010,Jamie Oliver,1
2010,Jamil Abu-Wardeh,1
2010,Jane McGonigal,1
2010,Jason Clay,1
2010,Jason Fried,1
2010,Jeff Bezos,1
2010,Jeremy Jackson,1
2010,Jeremy Rifkin,1
2010,Jessa Gamble,1
2010,Jesse Schell,1
2010,Jessica Jackley,1
2010,Jim Toomey,1
2010,Joan Halifax,1
2010,Jody Williams,1
2010,Joel Burns,1
2010,Johan Rockström,1
2010,John Delaney,1
2010,John Hardy,1
2010,John Kasaona,1
2010,John Underkoffler,1
2010,Jonathan Drori,1
2010,Jonathan Foley,1
2010,Jonathan Klein,1
2010,Joseph Nye,1
2010,Julia Sweeney,1
2010,Julian Assange,1
2010,Julian Treasure,1
2010,Juliana Machado Ferreira,1
2010,Kate Orff,1
2010,Kevin Bales,1
2010,Kevin Stone,1
2010,Kim Gorgens,1
2010,Kiran Bedi,1
2010,Kirk Citron,1
2010,Krista Tippett,1
2010,Kristina Gjerde,1
2010,Lauren Zalaznick,1
2010,Laurie Santos,1
2010,Lawrence Lessig,1
2010,Lee Hotz,1
2010,Lesley Hazleton,1
2010,Lewis Pugh,1
2010,Lisa Margonelli,1
2010,Liza Donnelly,1
2010,Madeleine Albright,1
2010,Majora Carter,1
2010,Marcel Dicke,1
2010,Margaret Gould Stewart,1
2010,Marian Bantjes,1
2010,Mark Roth,1
2010,Martin Jacques,1
2010,Matt Ridley,1
2010,Maz Jobrani,1
2010,Mechai Viravaidya,1
2010,Melinda Gates,1
2010,Michael Pawlyn,1
2010,Michael Sandel,1
2010,Michael Shermer,1
2010,Michael Specter,1
2010,Mike deGruy,1
2010,Mitchell Besser,1
2010,Mitchell Joachim,1
2010,Miwa Matreyek,1
2010,Naif Al-Mutawa,1
2010,Nalini Nadkarni,1
2010,Naomi Klein,1
2010,Natalie Merchant,1
2010,Nate Garvis,1
2010,Nathan Myhrvold,1
2010,Neil Pasricha,1
2010,Nic Marks,1
2010,Nigel Marsh,1
2010,Noreena Hertz,1
2010,Omar Ahmad,1
2010,Patricia Kuhl,1
2010,Patricia Ryan,1
2010,Patrick Chappatte,1
2010,Paul Root Wolpe,1
2010,Peter Haas,1
2010,Peter Molyneux,1
2010,Peter Tyack,1
2010,Philip K. Howard,1
2010,Rachel Botsman,1
2010,Rachel Sussman,1
2010,Raghava KK,1
2010,Richard Sears,1
2010,Rob Dunbar,1
2010,Rob Harmon,1
2010,Robert Gupta,1
2010,Rogier van der Heide,1
2010,Rory Sutherland,1
2010,Roz Savage,1
2010,Rufus Griscom + Alisa Volkman,1
2010,Sam Harris,1
2010,Sam Richards,1
2010,Sarah Kaminsky,1
2010,Sasha Dichter,1
2010,Sebastian Seung,1
2010,Sebastian Wernicke,1
2010,Seth Berkley,1
2010,Seth Priebatsch,1
2010,Sharmeen Obaid-Chinoy,1
2010,Sheena Iyengar,1
2010,Sheikha Al Mayassa,1
2010,Sheryl Sandberg,1
2010,Sheryl WuDunn,1
2010,Shimon Schocken,1
2010,Shimon Steinberg,1
2010,Shirin Neshat,1
2010,Simon Berrow,1
2010,Simon Lewis,1
2010,Stacey Kramer,1
2010,Stefan Sagmeister,1
2010,Stefan Wolff,1
2010,Stefano Mancuso,1
2010,Stephen Palumbi,1
2010,Stephen Wolfram,1
2010,Steven Johnson,1
2010,Stewart Brand + Mark Z. Jacobson,1
2010,Sugata Mitra,1
2010,Suheir Hammad,1
2010,Susan Lim,1
2010,Susan Shaw,1
2010,Taika Waititi,1
2010,Tan Le,1
2010,Temple Grandin,1
2010,The LXD,1
2010,Thomas Dolby,1
2010,Thomas Goetz,1
2010,Thomas Thwaites,1
2010,Tim Berners-Lee,1
2010,Tim Jackson,1
2010,Tom Chatfield,1
2010,Tom Wujec,1
2010,Tony Porter,1
2010,Tyrone Hayes + Penelope Jagessar Chaffer,1
2010,Van Jones,1
2010,William Li,1
2010,William Ury,1
2010,Young-ha Kim,1
2010,Zainab Salbi,1
2010,Ze Frank,1
2011,Damon Horowitz,2
2011,Jack Horner,2
2011,Kathryn Schulz,2
2011,Louie Schwartzberg,2
2011,Lucianne Walkowicz,2
2011,Marco Tempest,2
2011,Mikko Hypponen,2
2011,Sarah Kay,2
2011,A.J. Jacobs,1
2011,Aaron Koblin,1
2011,Aaron O'Connell,1
2011,Abraham Verghese,1
2011,Adam Garone,1
2011,Adam Ostrow,1
2011,Adam Savage,1
2011,Alain de Botton,1
2011,Alberto Cairo,1
2011,Aleph Molinari,1
2011,Alex Steffen,1
2011,Alison Gopnik,1
2011,Allan Jones,1
2011,Ami Klin,1
2011,Amit Sood,1
2011,Amy Lockwood,1
2011,Amy Purdy,1
2011,Angela Belcher,1
2011,AnnMarie Thomas,1
2011,Anna Mracek Dietrich,1
2011,Annie Murphy Paul,1
2011,Anthony Atala,1
2011,Antonio Damasio,1
2011,Aparna Rao,1
2011,Ariel Garten,1
2011,Avi Rubin,1
2011,Ben Goldacre,1
2011,Ben Kacyra,1
2011,Bilal Bomani,1
2011,Bill Doyle,1
2011,Bill Ford,1
2011,Bill Gates,1
2011,Bjarke Ingels,1
2011,Brenda Romero,1
2011,Brian Goldman,1
2011,Britta Riley,1
2011,Bruce Aylward,1
2011,Bunker Roy,1
2011,Béatrice Coron,1
2011,Camille Seaman,1
2011,Carlo Ratti,1
