author,count
tobacco brown,1
Steve McCarroll,1
Chuck Plunkett,1
Kate E. Brandt,1
Gabriela Roa,1
Mariana Atencio,1
Susan Colantuono,1
Tasos Frantzolas,1
Sarah Dudas,1
Ramesh Raskar,1
Jeffrey Kluger,1
Anne Milgram,1
John Kerry and Al Gore,1
Dennis vanEngelsdorp,1
Amanda Williams,1
Leana Wen,1
Bahia Shehab,1
Jens Burchardt,1
Emilie Wapnick,1
Paul Nicklen,1
Kathy Hull,1
Asmeret Asefaw Berhe,1
Michelle Kuo,1
 Kimberose,1
Diane J. Savino,1
Lorie Wigle,1
Alexandra Auer,1
Wendy Chung,1
Thomas Goetz,1
Dan Katz and Alex Rosenthal,1
Kemi DaSilva-Ibru,1
Lucas C. Majure,1
Carrie Poppy,1
Pamela Ronald,1
Amy Adele Hasinoff,1
Nigel Marsh,1
Janine di Giovanni,1
Mary Bassett,1
Mark Bittman,1
Daina Ramey Berry,1
Edwidge Danticat,1
John Searle,1
Dina Katabi,1
Hannah Bürckstümmer,1
Erin Sullivan,1
Michael S. A. Graziano,1
Amy Green,1
Jaap de Roode,1
Enrique Peñalosa,1
Samantha Power,1
Jeremy Heimans,1
Colin Camerer,1
Nancy Frates,1
Wendy Freedman,1
June Tangney,1
Joseph Redmon,1
David Macaulay,1
Carlos Moreno,1
Vishal Vaid,1
Ebony Roberts and Shaka Senghor,1
Alexis Ohanian,1
Sinéad Burke,1
Toby Shapshak,1
Sergio Feferovich,1
Matthias Müllenbeck,1
Melanie Nezer,1
Peter Saul,1
Jean-François Bastin,1
Morgan Vague,1
Svante Pääbo,1
Michael Botticelli,1
Chiara Decaroli,1
Philippe Petit,1
Dan Clay,1
Rayma Suprani,1
Hasan Kwame Jeffries,1
Emily Levesque,1
Jenna C. Lester,1
Mechai Viravaidya,1
Shoel Perelman,1
Sadasivan Shankar,1
Jonathan Klein,1
Bonnie Bassler,1
James Zucker,1
Ahn Trio,1
James B. Glattfelder,1
Corneille Ewango,1
Jacob Soboroff,1
Alan Kay,1
Sandeep Jauhar,1
Debbie Lovich,1
Fabian Oefner,1
Romaine Seguin,1
Françoise Mouly,1
Sahil Sethi,1
Julia Gillard and Ngozi Okonjo-Iweala,1
Laurie Garrett,1
Li Wei Tan,1
Juan López-Aranguren,1
Antonio Damasio,1
Klaus Stadlmann,1
Conversations with People Who Hate Me,1
Suzana Herculano-Houzel,1
Will Wright,1
Alan Crickmore,1
Rachel Sussman,1
Monica Menesini,1
Chris Nowinski,1
Gloria Steinem,1
Halima Aden,1
Daan Roosegaarde,1
Boaz Almog,1
Ron Shaneyfelt,1
Olympia Della Flora,1
Aubrey de Grey,1
Lisa Dyson,1
Alex Rosenthal and George Zaidan,1
Hawa Abdi + Deqo Mohamed,1
Leymah Gbowee,1
Anas Aremeyaw Anas,1
Manoush Zomorodi,1
Noah Zandan,1
Kimberly Noble,1
Jess Kutch,1
Peter Bohacek,1
Leah Buechley,1
Jon M. Chu,1
Doug Levinson,1
Sam Berns,1
Delali Bright,1
Riché D. Richardson,1
David Wallace-Wells,1
 WOLF,1
Greg Stone,1
Garik Israelian,1
Kirsti Abbott,1
Stefana Broadbent,1
Caroline Lavelle,1
Sean Follmer,1
Gene Luen Yang,1
Jess Thom,1
Heather Knight,1
Shameem Akhtar,1
Jonathan Trent,1
Christopher Ategeka,1
Aaron Koblin,1
Jeffrey Brown,1
Mehret Mandefro,1
Marwa Al-Sabouni,1
Sendhil Mullainathan,1
Brent Loken,1
Matt Kenyon,1
Allison Hunt,1
Jack Conte,1
Jamie C. Beard,1
Anna Babel,1
Franz Freudenthal,1
Luca Turin,1
Jean-Baptiste Michel + Erez Lieberman Aiden,1
Lana Mazahreh,1
Rob Hopkins,1
Natalie Fee,1
Triona McGrath,1
Anthony Goldbloom,1
Loretta J. Ross,1
R.A. Mashelkar,1
Zach Kaplan + Keith Schacht,1
Kenneth Shinozuka,1
Betty Hart,1
Norma Pimentel,1
Kate Darling,1
Erica Stone,1
Alex Smith,1
Nina G. Jablonski,1
Antony Gormley,1
Dan Gartenberg,1
Max Tegmark,1
Constantine N. Vaporis,1
Daniel Sherling,1
Alice Rawsthorn,1
Farida Nabourema,1
Balsher Singh Sidhu,1
Juliana Rotich,1
Chibeze Ezekiel,1
Amy Webb,1
Michael Pawlyn,1
Wingham Rowan,1
Ronald Sullivan,1
Robin Morgan,1
Stefaan Verhulst,1
Ethan Mann,1
Marie Wallace,1
Peter van Manen,1
Anna Mracek Dietrich,1
Ane Brun,1
Robin Ince,1
Chris Gerdes,1
Steve Howard,1
Jenna Weiner,1
Hindou Oumarou Ibrahim,1
Peggy Andover,1
Afra Raymond,1
Tod Machover + Dan Ellsey,1
Susan Pinker,1
Seth Shostak,1
Thea Knight,1
Bas Sudmeijer,1
Paul Knoepfler,1
Sarah Corbett,1
Karla Souza,1
Mike Kinney,1
John Legend,1
Tom Gruber,1
Tom Rielly,1
Yusuf Nurbhai,1
Dave Brain,1
Pierre Thiam,1
Tzeporah Berman,1
Suzanne Case,1
Dixon Chibanda,1
Linda Liukas,1
Christian Benimana,1
Ashley Whillans,1
Laxmi Parida,1
Sinan Aral,1
Joshua Silver,1
Devdutt Pattanaik,1
Bryan Kramer,1
Liam Young,1
James Green,1
Andreas Raptopoulos,1
Hugo Mercier,1
William Ury,1
Olivia Remes,1
Anjali Tripathi,1
Edsel Salvaña,1
Iyad Rahwan,1
Esther Choo,1
Marc Koska,1
David Logan,1
Dao Nguyen,1
Tyler DeWitt,1
Caroline Weaver,1
Valorie Kondos Field,1
Christoph Keplinger,1
Evelyn Glennie,1
Duncan Cowles,1
Juniper Fitzgerald,1
Julio Gil,1
Gary Kovacs,1
Sydney Iaukea,1
Sean Gourley,1
J.J. Abrams,1
Jenny Scheinman with Nels Cline and Todd Sickafoose,1
Chris Downey,1
Thordis Elva and Tom Stranger,1
Devita Davison,1
Fahad Al-Attiya,1
Luis von Ahn,1
Vik Muniz,1
